original,modern translation
됴션국셰둉ᄃᆡ왕즉위십오연의홍희문밧긔ᄒᆞᆫᄌᆡ상이잇스되셩은홍이요명은문이니위인이쳥염강직ᄒᆞ여덩망이거록ᄒᆞ니당셰의영웅이라일직용문의올나벼살이할림의쳐ᄒᆞ엿더니명망이됴졍의읏듬되ᄆᆡ젼하그덕망을승이녀긔ᄉᆞ벼살을도도와이조판셔로좌으졍을ᄒᆞ이시니승상이국은을감동ᄒᆞ야갈츙보국ᄒᆞ니ᄉᆞ방의일이업고도젹이업스ᄆᆡ시화연풍ᄒᆞ여나라이ᄐᆡ평ᄒᆞ더라,"조선국 세종대왕 즉위 십오년에 홍회문 밖에 한 재상이 있으되, 성은 홍이요, 명은 문이니, 위인이 청렴강직하여 덕망이 거룩하니 당세의 영웅이라. 일찍 용문에 올라 벼슬이 한림에 처하였더니 명망이 조정의 으뜸 되매, 전하 그 덕망을 승히 여기사 벼슬을 돋우어 이조판서로 좌의정을 하게 하시니, 승상이 국은을 감동하여 갈충보국하니 사방에 일이 업고 도적이 없으매 시화연풍하여 나라가 태평하더라."
일일은승상난간의비겨잠ᄀᆞᆫ조의더니ᄒᆞᆫ풍이긜을인도ᄒᆞ여ᄒᆞᆫ고듸다다르니쳥산은암암ᄒᆞ고녹슈난양양ᄒᆞᆫ듸셰류쳔만ᄀᆞ지녹음이파ᄉᆞᄒᆞ고황금갓ᄐᆞᆫᄭᅬᄭᅩ리난춘흥을희롱ᄒᆞ여냥뉴간의왕ᄂᆡᄒᆞ며긔화요초만발ᄒᆞᆫᄃᆡ쳥학ᄇᆡᆨ학이며비취공작이춘광을ᄌᆞ랑ᄒᆞ거날승상이경물을귀경ᄒᆞ며졈졈드러가니만쟝졀벽은하날의다엇고구뷔구뷔벽계슈난골골이폭포되어오운이어러엿난ᄃᆡ길이ᄭᅳᆫ쳐갈바을모로더니문득쳥용이물결을혜치고머리을드러고함ᄒᆞ니산학이믄허지난듯ᄒᆞ더니그용이입을버리고긔운을토ᄒᆞ여승상의입으로드러뵈거날ᄭᆡ다르니평ᄉᆡᆼᄃᆡ몽이라ᄂᆡ염의혜아리되피련군ᄌᆞ을나희리라ᄒᆞ여즉시ᄂᆡ당의드러ᄀᆞ시비을믈이치고부인을익그러취침코져ᄒᆞ니부인이졍ᄉᆡᆨ왈승상은국지ᄌᆡ상이라쳬위존즁ᄒᆞ시거날ᄇᆡᆨ쥬의졍실의드러와노류장화갓치ᄒᆞ시니ᄌᆡ상의쳬면이어ᄃᆡ잇난잇ᄀᆞ승상이ᄉᆡᆼ각ᄒᆞ신직말ᄉᆞᆷ은당연ᄒᆞ오나ᄃᆡ몽을허송할가ᄒᆞ야몽ᄉᆞ을이르지아니ᄒᆞ지고연ᄒᆞ여간쳥ᄒᆞ시니부인이옷슬ᄯᅥᆯ치고밧그로나가시니승상이무류ᄒᆞ신즁의부인의도도ᄒᆞᆫ고집을ᄋᆡ달나무슈히ᄎᆞ탄ᄒᆞ시고외당으로나오시니마ᄎᆞᆷ시비춘셤이상을드리거날좌우고요ᄒᆞ믈인ᄒᆞ여춘셤을잇글고원앙지낙을일의시니져긔울화을더르시나심ᄂᆡ의못ᄂᆡ한탄ᄒᆞ시더라,"일일은 승상 난간에 비겨 잠깐 졸더니, 한풍이 길을 인도하여 한 곳에 다다르니, 청산은 암암하고 녹수는 양양한데 세류 천만 가지 녹음이 파사하고, 황금 같은 꾀꼬리는 춘흥을 희롱하여 양류간에 왕래하며 기화요초 만발한데, 청학 백학이며 비취 공작이 춘광을 자랑하거늘, 승상이 경물을 구경하며 점점 들어가니, 만장절벽은 하늘에 닿았고, 굽이굽이 벽계수는 골골이 폭포되어 오운이 어리었는데, 길이 끊어져 갈 바를 모르더니, 문득 청룡이 물결을 헤치고 머리를 들어 고함 하니 산학이 무너지는 듯하더니, 그 용이 입을 벌리고 기운을 토하여 승상의 입으로 들어오거늘, 깨달으니 평생 대몽이라.
내염에 헤아리되 ""필연 군자를 낳으리라."" 하여, 즉시 내당에 들어가 시비를 물리치고 부인을 이끌어 취침코자 하니, 부인이 정색 왈,
""승상은 국지재상이라, 체위 존중하시거늘 백주에 정실에 들어와 노류장화같이 하시니 재상의 체면이 어디에 있나이까?""
승상이 생각하신 즉, 말씀은 당연하오나 대몽을 허송할까 하여 몽사를 이르지 아니하시고 연하여 간청하시니, 부인이 옷을 떨치고 밖으로 나가시니, 승상이 무료하신 중에 부인의 도도한 고집을 애달아 무수히 차탄하시고 외당으로 나오시니, 마침 시비 춘섬이 상을 드리거늘, 좌우 고요함을 인하여 춘섬을 이끌고 원앙지낙을 이루시니 적이 울화를 덜으시나 심내에 못내 한탄하시더라."
춘셤이비록쳔인이나ᄌᆡ덕이순직ᄒᆞᆫ지라불의예승상으위엄으로친근ᄒᆞ시니감이위령치못ᄒᆞ여순종ᄒᆞᆫ후로난그날븟텀즁문밧긔나지아니ᄒᆞ고ᄒᆡᆼ실을닥그니그달봇텀ᄐᆡ긔잇셔십ᄉᆡᆨ이당ᄒᆞᄆᆡ거쳐ᄒᆞ는방의오ᄉᆡᆨ운무영농ᄒᆞ며향ᄂᆡ긔히ᄒᆞ더니혼미즁의ᄒᆡᄐᆡᄒᆞ니일ᄀᆡ긔남ᄌᆞ라ᄉᆞᆷ일후의승상이드러와보시니일변긧거오나그쳔ᄉᆡᆼ되믈앗긔시더라일홈을길동이라ᄒᆞ니라이아희졈졈ᄌᆞ라ᄆᆡ긔골이비상ᄒᆞ여ᄒᆞᆫ말을드르면열말을알고ᄒᆞᆫ번보면모로거시업더라일일은승상이길동을다리고ᄂᆡ당의드러ᄀᆞ부인을ᄃᆡᄒᆞ야탄식왈이아히비록영웅이오나쳔ᄉᆡᆼ이라무엇싀쓰리요원통할ᄉᆞ부인의고집이여후회맛급이로소이다부인이그연고을믓ᄌᆞ오니승상이양미을빈츅ᄒᆞ여왈부인이젼일의ᄂᆡ말을드르시던들이아히부인복즁의낫슬낫다엇지쳔ᄉᆡᆼ이되리요인ᄒᆞ여몽ᄉᆞ얼셜화ᄒᆞ시니부인이츄연왈ᄎᆞ역쳔슈오니엇지일력으로ᄒᆞ오릿ᄀᆞ,"춘섬이 비록 천인이나 재덕이 순직한지라, 불의에 승상의 위엄으로 친근하시니 감이 위령치 못하여 순종한 후로는 그날부터 중문 밖에 나지 아니하고 행실을 닦으니 그달부터 태기있어 십삭이 당하매 거처하는 방에 오색운무 영롱하며 향내 기이하더니, 혼미중에 해태하니 일개 기남자라. 삼일 후에 승상이 들어와 보시니 일변 기꺼우나 그 천생됨을 아끼시더라. 이름을 길동이라 하니라.
이 아이 점점 자라매 기골이 비상하여 한 말을 들으면 열 말을 알 고, 한 번 보면 모르는 것이 없더라. 일일은 승상이 길동을 데리고 내당에 들어가 부인을 대하여 탄식 왈,
""이 아이 비록 영웅이나 천생이라 무엇에 쓰리오. 원통하도다. 부인의 고집이여, 후회막급이로소이다.""
부인이 그 연고를 묻자오니, 승상이 양미를 빈축하여 왈,
""부인이 전일에 내 말을 들으셨던들 이 아이 부인 복중에 낳을 것을 어찌 천생이 되리요.""
인하여 몽사를 설화하시니, 부인이 추연 왈,
""차역 천수오니 어찌 인력으로 하오리까."""
셰월이여류ᄒᆞ야길동의나히팔셰라상하다아니층찬ᄒᆞ리업고ᄃᆡ감도ᄉᆞ랑ᄒᆞ시나길동은가ᄉᆞᆷ의원한이부친을부친이라못ᄒᆞ고형을형이라부르지못ᄒᆞᄆᆡ스ᄉᆞ로쳔ᄉᆡᆼ되물자탓ᄒᆞ더니츄칠월망일의명월을ᄃᆡᄒᆞ야졍하의ᄇᆡ회ᄒᆞ더니츄풍은삽삽ᄒᆞ고긔러긔우난소ᄅᆡ은ᄉᆞᄅᆞᆷ의외로은심ᄉᆞ을돕ᄂᆞᆫ지라홀노탄식ᄒᆞ여왈ᄃᆡ장부세상의나ᄆᆡ공ᄆᆡᆼ의도학을ᄇᆡ화츌장입상ᄒᆞ여ᄃᆡ장인슈을요하의ᄎᆞ고ᄃᆡ장단의노피안ᄌᆞ쳔병만마을지위즁의너허두고남으로초를치고북으로즁원을뎡ᄒᆞ며셔으로촉을쳐ᄉᆞ업을일운후의얼골을긔린각의빗ᄂᆡ고일홈을후셰예유젼ᄒᆞ미ᄃᆡ장부의ᄯᅥᄯᅥᄒᆞᆫ일이라옛ᄉᆞᄅᆞᆷ이이르긔를왕후장상이씨업다ᄒᆞ엿시니날을두고이르민ᄀᆞ셰상ᄉᆞᄅᆞᆷ이갈관박이라도부형을부형이라ᄒᆞ되나ᄂᆞᆫ홀노그러치못ᄒᆞ니이어인인ᄉᆡᆼ으로그러ᄒᆞᆫ고울억ᄒᆞᆫ마음을것잡지못ᄒᆞ야칼을잡고월하의츔을츄며장ᄒᆞᆫ긔운이기지못ᄒᆞ더니이ᄯᆡ승상이명월을ᄉᆞ랑ᄒᆞ야창을열고비겻더니길동의거동을보시고놀ᄂᆡᄀᆞ로ᄃᆡ밤이이무긥퍼거ᄂᆞᆯ네무슨긜거오미잇셔이러ᄒᆞᄂᆞ냐,"세월이 여류하여 길동의 나이 팔세라. 상하 다 아니 칭찬할 이 없고 대감도 사랑하시나, 길동은 가슴의 원한이 부친을 부친이라 못하고 형을 형이라 부르지 못하매 스스로 천생됨을 자탄하더니, 칠월 망일에 명월을 대하여 정하에 배회하더니 추풍은 삽삽하고 기러기 우는 소리는 사람의 외로운 심사를 돕는지라.
홀로 탄식하여 왈,
""대장부 세상에 나매 공맹의 도학을 배워 출장입상하여 대장인수를 요하에 차고 대장단에 높이 앉아 천병만마를 지휘중에 넣어두고, 남으로 초를 치고, 북으로 중원을 정하며, 서로 촉을 쳐 사업을 이룬 후에 얼굴을 기린각에 빛내고, 이름을 후세에 유전함이 대장부의 떳떳한 일이라. 옛 사람이 이르기를 '왕후장상이 씨없다.' 하였으니 나를 두고 이름인가. 세상 사람이 갈관박이라도 부형을 부형이라 하되 나는 홀로 그렇지 못하니 어떤 인생으로 그러한고.""
울억한 마음을 걷잡지 못하여 칼을 잡고 월하에 춤을 추며 장한 기운 이기지 못하더니, 이때 승상이 명월을 사랑하여 창을 열고 비겼더니, 길동의 거동을 보시고 놀래 가로되,
""밤이 이미 깊었거늘 네 무슨 즐거움이 있어 이러하느냐?"""
길동이칼을던지고부복ᄃᆡ왈소인이ᄃᆡ감의졍긔을타당당ᄒᆞᆫ남ᄌᆞ로낫ᄉᆞ오니이만긜거ᄒᆞᆫ일이업ᄉᆞ오ᄃᆡ평셜위ᄒᆞ옵난아부를아부라부르지못ᄒᆞ옵고형을형이라못ᄒᆞ와상하노복이다쳔이보고친쳑고구도손으로가르쳐아모의쳔ᄉᆡᆼ이라이르오니이런원통ᄒᆞᆫ일이어ᄃᆡ잇ᄉᆞ오릿ᄀᆞ인ᄒᆞ여ᄃᆡ셩통곡ᄒᆞ니ᄃᆡ감이마음의긍측이녀긔시ᄂᆞ맛일그아음을위로ᄒᆞ면일노조ᄎᆞ방ᄌᆞᄒᆞᆯᄀᆞᄒᆞ야ᄭᅮ지져왈ᄌᆡ상의쳔ᄉᆡᆼ이너ᄲᅮᆫ아니라ᄀᆞ장방ᄌᆞᄒᆞᆫ마음을두지말나일후의다시그런말을번거이ᄒᆞᆫ일이잇스면눈압푸용납지못ᄒᆞ리라ᄒᆞ시니길동은한갓눈믈흘이ᄲᅮᆫ이라,"길동이 칼을 던지고 부복 대왈,
""소인은 대감의 정기를 타 당당한 남자로 낳사오니 이만 즐거운 일이 없사오되, 평(생) 설워하옵(기)는 아비를 아비라 부르지 못하옵고, 형을 형이라 못하여 상하 노복이 다 천히 보고, 친척 고두도 손으로 가르쳐 아무의 천생이라 이르오니 이런 원통한 일이 어디에 있사오리까?"" 인하여 대성통곡하니, 대감이 마음에 긍측이 여기시나 만일 그 마음을 위로하면 일로조차 방자할까 하여 꾸짖어 왈.
""재상의 천비 소생이 너 뿐 아니라. 자못 방자한 마음을 두지 말라. 일후에 다시 그런 말을 번거이 한 일이 있으면 눈 앞에 용납치 못하리라.""
하시니, 길동은 한갓 눈물 흘릴 뿐이라."
이윽키업듸엿더니ᄃᆡ감이믈너ᄀᆞ라ᄒᆞ시거날길동이도라와어미을붓들고통곡왈모친은소ᄌᆞ와젼ᄉᆡᆼ연분으로ᄎᆞᄉᆡᆼ의모ᄌᆞ되오니구뢰지은을ᄉᆡᆼ각ᄒᆞ오면호쳔망극ᄒᆞ오나남ᄋᆡ셰상의나셔입신양명ᄒᆞ와우희로향화을밧들고부모의약휵지은을만분의ᄒᆞᆫ나히라도갑푸거시여날이몸은팔ᄌᆞ긔박ᄒᆞ여쳔ᄉᆡᆼ이되여남의쳔ᄃᆡ을바드니ᄃᆡ장부엇지구구히근본을직히여후회을두리요이몸미당당히조션국병조판셔인슈을ᄯᅴ고상장군이되지못ᄒᆞᆯ진ᄃᆡᄎᆞ라리몸을산즁의븟쳐셰상영옥을모로고져ᄒᆞ오니복망모친은ᄌᆞ식의ᄉᆞ졍을ᄉᆞᆯ피ᄉᆞ아조바린다시잇고계시면후일의소ᄌᆞ도라와오조지졍을일위랄잇ᄉᆞ오니이만짐작ᄒᆞ옵소셔ᄒᆞ고언파의ᄉᆞ긔도도ᄒᆞ여도로혀비회업거날,"이윽히 엎드려있더니, 대감이 물러가라 하시거늘, 길동이 돌아와 어미를 붙들고 통곡 왈,
""모친은 소자와 전생연분으로 차생에 모자 되오니 구로지은을 생각하오면 호천망극하오나, 남아가 세상에 나서 입신양명하여 위로 향화를 받들고, 부모의 양육지은을 만분의 하나라도 갚을 것이거늘, 이 몸은 팔자 기박하여 천생이 되어 남의 천대를 받으니, 대장부 어찌 구구히 근본을 지키어 후회를 두리요. 이 몸이 당당히 조선국 병조판서 인수를 띠고 상장군이 되지 못할진대, 차라리 몸을 산중에 붙여 세상영욕을 모르고자 하오니, 복망 모친은 자식의 사정을 살피사 아주 버린 듯이 잊고 계시면 후일에 소자 돌아와 오조지정을 이를 날 있사오니 이만 짐작하옵소서.""
하고, 언파에 사기 도도하여 도리어 비회 없거늘."
그모이거동을보고ᄀᆡ유ᄒᆞ여왈ᄌᆡ상가쳔ᄉᆡᆼ이너ᄲᅮᆫ아니라무슨말을드른지모로되어미의간장을이ᄃᆡ지상케ᄒᆞᄂᆞᆫ다어미의낫츨보와아직잇스면ᄂᆡ두의ᄃᆡ감이쳐결ᄒᆞ시ᄂᆞᆫ분부업지아니ᄒᆞ리라길동이ᄀᆞ로ᄃᆡ부형의쳔ᄃᆡᄂᆞᆫ고ᄉᆞᄒᆞ옵고노복이며동유의잇다감들이ᄂᆞᆫ말이골슈의박키난일이허다ᄒᆞ오며근간의곡산모의ᄒᆡᆼᄉᆡᆨ을보오니승긔ᄌᆞ을염지ᄒᆞ야과실업ᄂᆞᆫ우리모ᄌᆞ을구슈갓치보와살ᄒᆡᄒᆡ할ᄯᅳ슬두오니불구의목젼ᄃᆡ환이잇슬지라그러ᄒᆞ오ᄂᆞ소ᄌᆞ나ᄀᆞᆫ후이라도모친의게환이밋지아니케ᄒᆞ오리다그어미ᄀᆞ로ᄃᆡ네말이ᄀᆞ장그러ᄒᆞᄂᆞ곡ᄉᆞᆫ모ᄂᆞᆫ인후ᄒᆞᆫᄉᆞᄅᆞᆷ이라엇지그런일이잇스리요길동왈셰상ᄉᆞ을층양치못ᄒᆞᄂᆞ이다소ᄌᆞ의말을헛도히ᄉᆡᆼ각지마르시고쟝ᄂᆡ을보오쇼셔ᄒᆞ더라,"그 모 이 거동을 보고 개유하여 왈,
""재상가 천생이 너뿐 아니라. 무슨 말을 들었는지 모르되 어미의 간장을 이다지 상케 하느냐? 어미의 낮을 보아 아직 있으면 내두에 대감이 처결하시는 분부 없지 아니하리라.""
길동이 가로되,
""부형의 천대는 고사하옵고, 노복이며 동유의 이따금 들리는 말이 골수에 박히는 일이 허다하오며, 근간에 곡산모의 행색을 보오니 승기자를 염지하여 과실없는 우리 모자를 구수같이 보아 살해 해할 뜻을 두오니 불구에 목전대환이 있을지라. 그러하오나 소자 나간 후 이라도 모친에게 후환이 미치지 아니케 하오리다.""
그 어미 가로되.
""네 말이 자못 그러하나 곡산모는 인후한 사람이라. 어찌 그런 일이 있으리요?""
길동 왈,
""세상사를 측량치 못하나이다. 소자의 말을 헛되이 생각지 마시고 장래를 보읍소서."" 하더라."
원ᄂᆡ곡산모는곡산긔ᄉᆡᆼ으로ᄃᆡ감의총쳡이되여ᄯᅳ시방ᄌᆞᄒᆞ긔로노복이라도블합ᄒᆞᆫ일이잇스면ᄒᆞᆫ번참소의ᄉᆞᄉᆡᆼ이관계ᄒᆞ여ᄉᆞᄅᆞᆷ이못되면긧거ᄒᆞ고승ᄒᆞ면시긔ᄒᆞ더니ᄃᆡ감이용몽을엇고길동을나허ᄉᆞᄅᆞᆷ마닥일칼고ᄃᆡ감이ᄉᆞ랑ᄒᆞ시ᄆᆡ일후총을아일ᄀᆞᄒᆞ며ᄯᅩᄒᆞᆫᄃᆡ감이잇다감희롱ᄒᆞ시난말ᄉᆞᆷ이너도길동갓탄ᄌᆞ식을나허ᄂᆡ의모년ᄌᆞ미을도으라ᄒᆞ시ᄆᆡᄀᆞ쟝무류ᄒᆞ여ᄒᆞᄂᆞᆫ즁의길동의일홈미날노ᄌᆞᄌᆞᄒᆞ무로초낭더옥크게시긔ᄒᆞ여길동모ᄌᆞ을눈의ᄀᆞ시ᄀᆞ치미워ᄒᆞ여ᄒᆡ할마음이급ᄒᆞᄆᆡ흉계을ᄌᆞ어ᄂᆡ여ᄌᆡ물을흣터요괴로온무녀등을블너모의말말ᄒᆞ고츅일왕ᄂᆡᄒᆞ더니ᄒᆞᆫ무녀ᄀᆞ로ᄃᆡ동ᄃᆡ문밧긔관상ᄒᆞ난계집이잇스되ᄉᆞᄅᆞᆷ의상을ᄒᆞᆫ번보오면평ᄉᆡᆼ길흉화복을판단ᄒᆞ오니이졔쳥ᄒᆞ여약속을졍ᄒᆞ고ᄃᆡ감젼의쳔거ᄒᆞ여ᄀᆞ즁젼후ᄉᆞ을본다시이른후의인ᄒᆞ여길동의상을보고어ᄎᆞ어ᄎᆞ이알외여ᄃᆡ감의마음을놀ᄂᆡ면낭ᄌᆞ의소회를일노조ᄎᆞ일울ᄀᆞᄒᆞᄂᆞ이다초낭이ᄃᆡ희ᄒᆞ야직시관상녀의게통ᄒᆞ여ᄌᆡ믈노ᄡᅧ다ᄅᆡ고ᄃᆡ감ᄃᆡᆨ일을낫낫치ᄀᆞ르치고길동졔거ᄒᆞᆯ약속을졍ᄒᆞᆫ후의날을긔약ᄒᆞ고보ᄂᆡ니라,"원래 곡산모는 곡산 기생으로 대감의 총첩이 되어 뜻이 방자하기로, 노복이라도 불합한 일이 있으면 한 번 참소에 사생이 관계하여 사람이 못되면 기뻐하고 승하면 시기하더니, 대감이 용몽을 얻고 길동을 낳아 사람마다 일컫고 대감이 사랑하시매, 일후 총을 앗길까 하며, 또한 대감이 이따금 희롱하시는 말씀이
""너도 길동같은 자식을 낳아 나의 모년재미를 도우라.""
하시매, 가장 무료하여 하는 중에 길동의 이름이 날로 자자하므로 초낭 더욱 크게 시기하여 길동 모자를 눈의 가시같이 미워하여 해할 마음이 급하매, 흉계를 짜아내어 재물을 흩어 요괴로운 무녀 등을 불러 모의말 말하고 축일왕래하더니, 한 무녀 가로되,
""동대문 밖에 관상하는 계집이 있으되, 사랑의 상을 한 번 보면 평생 길흉화복을 판단하오니, 이제 청하여 약속을 정하고 대감전에 천거하여 가중 전후사를 본 듯이 이른 후에 인하여 길동의 상을 보고 여차여차히 아뢰어 대감의 마음을 놀래면 낭자의 소회를 이룰까 하나이다.""
초낭이 대희하여, 즉시 관상녀에계 통하여 재물로써 달래고, 대감댁 일을 낱낱이 가르치고, 길동 제거할 약속을 정한 후에 날을 기약하고 보내니라."
일일은ᄃᆡ감이ᄂᆡ당의드러ᄀᆞ길동을불은후의부인을ᄃᆡᄒᆞ야ᄀᆞ로ᄃᆡ이아희비록영웅의긔상이잇스나엇다쓰리요ᄒᆞ시며히롱ᄒᆞ시더니믄득ᄒᆞᆫ녀ᄌᆞ밧긔로븟터드러와당하의뵈거날ᄃᆡ감이괴히녀겨그연고을무르신ᄃᆡ그녀ᄌᆞ복지쥬왈소녀난동ᄃᆡ문밧긔ᄉᆞ옵더니어려셔ᄒᆞᆫ도인을만ᄂᆞᄉᆞᄅᆞᆷ의상보는볍을ᄇᆡ은바두로다니며관상ᄎᆞ로맛호장안을편남ᄒᆞ옵고ᄃᆡ감ᄃᆡᆨ만복을놉피듯고쳔ᄒᆞᆫᄌᆡ조을시험코져왓ᄂᆞ니다ᄃᆡ감이엇지요괴로은무녀을ᄃᆡᄒᆞ여문답이잇스리요마ᄂᆞᆫ길동을히롱ᄒᆞ시던ᄭᅳᆺ친고로우으시며왈네암커ᄂᆞ갓ᄀᆞ히올아ᄂᆡ의평ᄉᆡᆼ을확논ᄒᆞ라ᄒᆞ시니관상녀국궁ᄒᆞ고당의올나몬쳠ᄃᆡ감의상을ᄉᆞᆯ핀후의이왕지ᄉᆞ을역역히알외며ᄂᆡ두ᄉᆞ을보ᄂᆞᆫ다시논단ᄒᆞ니호발도ᄃᆡ감의마음의위월ᄒᆞᆫ마듸업ᄂᆞᆫ지라ᄃᆡ감이크게층찬ᄒᆞ시고연ᄒᆞ여ᄀᆞ즁ᄉᆞᄅᆞᆷ의상을의논할ᄉᆡ낫낫치본다시폄논ᄒᆞ야ᄒᆞᆫ말도허망ᄒᆞᆫ고시업ᄂᆞᆫ지라ᄃᆡ감과부인이며좌즁졔인이ᄃᆡ혹ᄒᆞ야신인이라일ᄏᆞᆺ더라,"일일은 대감이 내당에 들어가 길동을 부른 후에 부인을 대하여 가로되,
""이 아이 비록 영웅의 기상이 있으나 어디다 쓰리요.""
하시며 희롱하시더니, 문득 한 여자 밖으로부터 들어와 당하에 뵈거늘, 대감이 괴히 여겨 그 연고를 물으신대, 그 여자 복지 주왈.
""소녀는 동대문 밖에 사옵더니, 어려서 한 도인을 만나 사람의 상보는 법을 배운 바 두루 다니며 관상차로 만호장안을 편람하옵고, 대감댁 만복을 높이 듣고 천한 재주를 시험코자 왔나이다.""
대감이 어찌 요괴로운 무녀를 대하여 문답이 있으리요마는 길동을 희롱하시던 끝인 고로 웃으시며 왈,
""네 암커나 가까이 올라 나의 평생을 확론하라.""
하시니, 관상녀 국궁하고 당에 올라 먼저 대감의 상을 살핀 후에 이왕지사를 역역히 아뢰며 내두사를 보는 듯이 논단하니, 호발도 대감의 마음에 위월한 마디 없는지라. 대감이 크게 칭찬하시고 연하여 가중 사람의 상을 의논할새, 낱낱이 본 듯이 평론하여 한 말도 허망한 곳이 없는지라. 대감과 부인이며 좌중제인이 대혹하여 신인이라 일컫터라."
ᄭᅳᆺ틔로길동의상을의논ᄒᆞᆯᄉᆡ크게층찬왈소녀ᄀᆞ열읍의쥬류ᄒᆞ며쳔만인을보와시되공ᄌᆞ의상갓튼이ᄂᆞᆫ쳐음이연이와아지못게라부인의긔츌이아니ᄀᆞᄒᆞᄂᆞ이다ᄃᆡ감이쇼긔지못ᄒᆞ여왈그는그러ᄒᆞ거니와ᄉᆞᄅᆞᆷ마닷길흉영욕이각각ᄯᆡ잇ᄂᆞᆫ이이아희상을각별논단ᄒᆞ라ᄒᆞ니상녜이윽키보다ᄀᆞ거즛놀ᄂᆡᄂᆞᆫ쳬ᄒᆞ거날괴히녀겨그연고을므르신ᄃᆡ함구ᄒᆞ고말이업거날ᄃᆡ감이ᄀᆞ로ᄃᆡ길흉을호발도긔이지말고보이ᄂᆞᆫᄃᆡ로의논ᄒᆞ여ᄂᆡ의의혹이업게ᄒᆞ라관상녀ᄀᆞ로ᄃᆡ이말ᄉᆞᆷ을바로알외오면ᄃᆡ감의마음을놀ᄂᆡᆯᄀᆞᄒᆞᄂᆞ이다ᄃᆡ감왈옛졔곽분양ᄀᆞᆺᄐᆞᆫᄉᆞᄅᆞᆷ도길ᄒᆞᆫᄯᆡ잇고흉ᄒᆞᆫᄯᆡ잇셔시니무슨여러말이잇난요상볍보이ᄂᆞᆫᄃᆡ로긔이말나ᄒᆞ이니관상녀마지못ᄒᆞ여길동치운후의그윽키알외되공ᄌᆞ의ᄂᆡ두ᄉᆞᄂᆞᆫ여러말ᄉᆞᆷ발이옵고셩즉군왕지상이요ᄑᆡ즉층양치못ᄒᆞᆯ환이잇ᄂᆞᆫ이다ᄒᆞᆫᄃᆡᄃᆡ감이크게놀ᄂᆡ여윽키진졍ᄒᆞᆫ후의상녀를후이상급ᄒᆞ시고ᄀᆞ로ᄃᆡ이ᄃᆡ여말을ᄉᆞᆷᄀᆞ발구치말나엠이분부ᄒᆞ시고왈졔늑드락츄립지못ᄒᆞ게ᄒᆞ리라ᄒᆞ시니상녀왈왕후장상이엇지씨잇스릿ᄀᆞᄃᆡ감이누누당부ᄒᆞ시니관상녀공슈슈명ᄒᆞ고가니라,"끝으로 길동의 상을 의논할새, 크게 칭찬 왈,
""소녀가 열읍에 주류하며 천만인을 보았으되 공자의 상같은 이는 처음이려니와 알지 못게라, 부인의 기출이 아닌가 하나이다.""
대감이 속이지 못하여 왈,
""그는 그러하거니와 사람마다 길흥영욕이 각각 때있나니 이 아이 상을 각별 논단하라.""
하니, 상녀가 이윽히 보다가 거짓 놀라는 체 하거늘, 괴히 여겨 그연고를 물으신대 함구하고 말이 없거늘, 대감이 가로되,
""길흉을 호발도 기이지 말고 보이는 대로 의논하여 나의 의흑이 없게 하라.""
관상녀 가로되,
""이 말씀을 바로 아뢰면 대감의 마음을 놀래일까 하나이다.""
대감 왈,
""옛날 곽분양같은 사람도 길한 때 있고 흉한 때있었으니 무슨 여러 말이 있느냐? 상법 보이는 대로 기이 말라.""
하시니. 관상터 마지 못하혀 길동을 치운 후에 그윽히 아뢰되,
""공자의 내두사는 여러 말씀 버리옵고 성즉 군왕지상이요, 패즉 측량치 못할 환이 있나이다.""
한대, 대감이 크계 놀래어 (이)윽히 진정란 후에 상녀를 후이 상급하시고 가로되,
""이같은 말을 삼가 발구치 말라.""
엄히 분부하시고, 왈,
""제 늙도록 출입치 못하게 하리라.""
하시니, 상녀 왈,
""왕후장상이 어디 씨 있으리까?""
대감이 누누당부하시니, 관상녀 공수 수명하고 가니라."
